prev_caption,curr_caption,human_transition,input_text
a woman in a long coat is walking down a dirt road,a man is walking down a dirt road,,"Caption 1: a woman in a long coat is walking down a dirt road
Caption 2: a man is walking down a dirt road
What's the transition?"
a man is walking down a dirt road,a car driving down a dirt road,,"Caption 1: a man is walking down a dirt road
Caption 2: a car driving down a dirt road
What's the transition?"
a car is driving down a hill in the mountains,a man is seen in this surveillance image,,"Caption 1: a car is driving down a hill in the mountains
Caption 2: a man is seen in this surveillance image
What's the transition?"
a man is seen in this surveillance image,a black and white image of a person on a skateboard,,"Caption 1: a man is seen in this surveillance image
Caption 2: a black and white image of a person on a skateboard
What's the transition?"
a black and white image of a person on a skateboard,a purple object is seen in this image,,"Caption 1: a black and white image of a person on a skateboard
Caption 2: a purple object is seen in this image
What's the transition?"
a woman in a red shirt,a woman in a red shirt is looking at a laptop,,"Caption 1: a woman in a red shirt
Caption 2: a woman in a red shirt is looking at a laptop
What's the transition?"
a man riding a horse,a horse is running,,"Caption 1: a man riding a horse
Caption 2: a horse is running
What's the transition?"
a man in a red shirt is running through the grass,a woman in a yellow shirt is singing into a microphone,,"Caption 1: a man in a red shirt is running through the grass
Caption 2: a woman in a yellow shirt is singing into a microphone
What's the transition?"
a woman in a yellow shirt is singing into a microphone,a woman in a yellow dress is standing in the rain,,"Caption 1: a woman in a yellow shirt is singing into a microphone
Caption 2: a woman in a yellow dress is standing in the rain
What's the transition?"
a woman in a yellow dress is standing in the rain,a man with a guitar in his hand,,"Caption 1: a woman in a yellow dress is standing in the rain
Caption 2: a man with a guitar in his hand
What's the transition?"
a man with a guitar in his hand,a woman is singing into a microphone,,"Caption 1: a man with a guitar in his hand
Caption 2: a woman is singing into a microphone
What's the transition?"
a woman is singing into a microphone,a video of a man running in the rain,,"Caption 1: a woman is singing into a microphone
Caption 2: a video of a man running in the rain
What's the transition?"
a man is seen in the dark as he walks through a window,a man is playing soccer in the dark,,"Caption 1: a man is seen in the dark as he walks through a window
Caption 2: a man is playing soccer in the dark
What's the transition?"
a man is playing soccer in the dark,a woman is standing in the rain,,"Caption 1: a man is playing soccer in the dark
Caption 2: a woman is standing in the rain
What's the transition?"
a wall painted with a colorful design,a cat is sitting on the ground in front of a tent,,"Caption 1: a wall painted with a colorful design
Caption 2: a cat is sitting on the ground in front of a tent
What's the transition?"
a blue tent,a white umbrella,,"Caption 1: a blue tent
Caption 2: a white umbrella
What's the transition?"
a white cat walking around a small yard,a chicken is walking around a small yard,,"Caption 1: a white cat walking around a small yard
Caption 2: a chicken is walking around a small yard
What's the transition?"
a taxi cab is parked on the side of the road,a woman sitting in a taxi cab,,"Caption 1: a taxi cab is parked on the side of the road
Caption 2: a woman sitting in a taxi cab
What's the transition?"
a woman standing next to a taxi cab,a yellow taxi car,,"Caption 1: a woman standing next to a taxi cab
Caption 2: a yellow taxi car
What's the transition?"
a yellow taxi car,a woman in a car with a guitar,,"Caption 1: a yellow taxi car
Caption 2: a woman in a car with a guitar
What's the transition?"
a woman in a car with a guitar,a woman in a camouflage jacket is standing next to a taxi,,"Caption 1: a woman in a car with a guitar
Caption 2: a woman in a camouflage jacket is standing next to a taxi
What's the transition?"
a group of people are walking around a room,a man is jumping in the air in a room,,"Caption 1: a group of people are walking around a room
Caption 2: a man is jumping in the air in a room
What's the transition?"
a man in a vest is sitting down,a man sitting in a chair with his hand on his face,,"Caption 1: a man in a vest is sitting down
Caption 2: a man sitting in a chair with his hand on his face
What's the transition?"
a man sitting in a chair with his hand on his face,a man in a vest is talking on a cell,,"Caption 1: a man sitting in a chair with his hand on his face
Caption 2: a man in a vest is talking on a cell
What's the transition?"
a man in a vest is talking on a cell,a man in a vest is sitting down,,"Caption 1: a man in a vest is talking on a cell
Caption 2: a man in a vest is sitting down
What's the transition?"
a man is dancing on a stage,a man is standing on a roof with his arms outstretched,,"Caption 1: a man is dancing on a stage
Caption 2: a man is standing on a roof with his arms outstretched
What's the transition?"
a man is standing on a roof with his arms outstretched,a man is standing on a stage with a microphone,,"Caption 1: a man is standing on a roof with his arms outstretched
Caption 2: a man is standing on a stage with a microphone
What's the transition?"
a boy is walking across a bridge,a man walking across a bridge with a backpack,,"Caption 1: a boy is walking across a bridge
Caption 2: a man walking across a bridge with a backpack
What's the transition?"
a green and white bowl,a cat is playing with a ball in the grass,,"Caption 1: a green and white bowl
Caption 2: a cat is playing with a ball in the grass
What's the transition?"
a pan of carrots on a red table,a tray of carrots,,"Caption 1: a pan of carrots on a red table
Caption 2: a tray of carrots
What's the transition?"
a man is making doughs in a kitchen,a man is walking down a long hallway,,"Caption 1: a man is making doughs in a kitchen
Caption 2: a man is walking down a long hallway
What's the transition?"
a man playing a flute,a man in a white shirt,,"Caption 1: a man playing a flute
Caption 2: a man in a white shirt
What's the transition?"
a man in a white shirt,a man with glasses on singing into a microphone,,"Caption 1: a man in a white shirt
Caption 2: a man with glasses on singing into a microphone
What's the transition?"
a man with glasses on singing into a microphone,a man playing a flute in front of a microphone,,"Caption 1: a man with glasses on singing into a microphone
Caption 2: a man playing a flute in front of a microphone
What's the transition?"
a young man in blue shorts kicking a soccer ball,a woman in blue shorts kicking a soccer ball,,"Caption 1: a young man in blue shorts kicking a soccer ball
Caption 2: a woman in blue shorts kicking a soccer ball
What's the transition?"
a man in a cowboy hat is standing by a fence,a man in a cowboy hat and tie standing in front of a truck,,"Caption 1: a man in a cowboy hat is standing by a fence
Caption 2: a man in a cowboy hat and tie standing in front of a truck
What's the transition?"
a man in a cowboy hat is shooting a gun,a police officer is standing in front of a fence,,"Caption 1: a man in a cowboy hat is shooting a gun
Caption 2: a police officer is standing in front of a fence
What's the transition?"
