prev_caption,curr_caption,human_transition,input_text,generated_transition
a man in a red suit is jumping,a man in red is dancing on a red carpet,,"Caption 1: a man in a red suit is jumping
Caption 2: a man in red is dancing on a red carpet
What's the transition?",The man continues to dance.
a man in red is dancing on a red carpet,a man in red shirt and white pants playing a game,,"Caption 1: a man in red is dancing on a red carpet
Caption 2: a man in red shirt and white pants playing a game
What's the transition?",The man is playing a game.
a man in red shirt and white pants playing a game,a man in red pants and white shoes is doing a karate pose,,"Caption 1: a man in red shirt and white pants playing a game
Caption 2: a man in red pants and white shoes is doing a karate pose
What's the transition?",He is doing a karate pose.
a man is standing in the garden with an umbrella,a woman is standing on a bed with flowers,,"Caption 1: a man is standing in the garden with an umbrella
Caption 2: a woman is standing on a bed with flowers
What's the transition?",The woman stands on the bed with flowers.
a woman is standing on a bed with flowers,a man and woman in a garden,,"Caption 1: a woman is standing on a bed with flowers
Caption 2: a man and woman in a garden
What's the transition?",The woman and man are in the garden.
a man and woman in a garden,a man in a red shirt and white shirt,,"Caption 1: a man and woman in a garden
Caption 2: a man in a red shirt and white shirt
What's the transition?",He is wearing a red shirt and white shirt.
a man in a red shirt and white shirt,a woman standing in front of a house with flowers,,"Caption 1: a man in a red shirt and white shirt
Caption 2: a woman standing in front of a house with flowers
What's the transition?",The woman stands in front of the house with flowers.
a woman standing in front of a house with flowers,a group of people standing around a garden,,"Caption 1: a woman standing in front of a house with flowers
Caption 2: a group of people standing around a garden
What's the transition?",People are shown standing around the garden.
a group of people standing around a garden,a man with a long beard and a hat,,"Caption 1: a group of people standing around a garden
Caption 2: a man with a long beard and a hat
What's the transition?",A man appears.
a man riding a bike down a hill,a truck is driving through a flooded street,,"Caption 1: a man riding a bike down a hill
Caption 2: a truck is driving through a flooded street
What's the transition?",A truck passes the bike.
a truck is driving through a flooded street,a motorcycle is stuck in the mud,,"Caption 1: a truck is driving through a flooded street
Caption 2: a motorcycle is stuck in the mud
What's the transition?",A motorcycle is stuck in the mud.
a car is stuck in the mud,a motorcycle is falling into the mud,,"Caption 1: a car is stuck in the mud
Caption 2: a motorcycle is falling into the mud
What's the transition?",A motorcycle is falling into the mud.
a motorcycle is falling into the mud,a man is walking down a dirt road,,"Caption 1: a motorcycle is falling into the mud
Caption 2: a man is walking down a dirt road
What's the transition?",A man walks down the dirt road.
a man riding a motorcycle down a street,the theatre at the roman theatre in caesar caesar,,"Caption 1: a man riding a motorcycle down a street
Caption 2: the theatre at the roman theatre in caesar caesar
What's the transition?",The theatre is shown at the roman theatre.
the theatre at the roman theatre in caesar caesar,a large auditorium with rows of seats in it,,"Caption 1: the theatre at the roman theatre in caesar caesar
Caption 2: a large auditorium with rows of seats in it
What's the transition?",The auditorium is now full.
a large auditorium with rows of seats in it,a man riding a bike down a street,,"Caption 1: a large auditorium with rows of seats in it
Caption 2: a man riding a bike down a street
What's the transition?",A man appears biking in the street near the auditorium.
a black and white image of a square,a car is seen in the sky as it drives through a field,,"Caption 1: a black and white image of a square
Caption 2: a car is seen in the sky as it drives through a field
What's the transition?",A car appears in the sky.
a car is seen in the air as it flies through the sky,a car is driving down a hill,,"Caption 1: a car is seen in the air as it flies through the sky
Caption 2: a car is driving down a hill
What's the transition?",The car begins to drive down the hill.
a man riding a bike down a street,a video of a group of people standing on a street,,"Caption 1: a man riding a bike down a street
Caption 2: a video of a group of people standing on a street
What's the transition?",A group of people appear on the street.
a video of a man in a suit and a woman in a dress,a television screen with a water tower in the background,,"Caption 1: a video of a man in a suit and a woman in a dress
Caption 2: a television screen with a water tower in the background
What's the transition?",The video cuts to a television screen.
a television screen with a water tower in the background,a black and white photo of a building,,"Caption 1: a television screen with a water tower in the background
Caption 2: a black and white photo of a building
What's the transition?",The photo changes from a television screen to a photo.
a man is walking down the street at night,a man in a suit is on a television screen,,"Caption 1: a man is walking down the street at night
Caption 2: a man in a suit is on a television screen
What's the transition?",The man is wearing a suit.
a man in a suit is on a television screen,a television screen with a man on a motorcycle,,"Caption 1: a man in a suit is on a television screen
Caption 2: a television screen with a man on a motorcycle
What's the transition?",The man is on a motorcycle.
a group of elephants walking through a fence,a group of elephants,,"Caption 1: a group of elephants walking through a fence
Caption 2: a group of elephants
What's the transition?",The elephants continue to walk.
